model,n_days,total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,positive_day_rate,average_daily_return,best_day_return,worst_day_return
lstm_dmn,1200,0.07607201279352194,0.01551579013044213,0.01427335839005993,1.0858533898712337,1.174115317648106,-0.011064416203939276,1.4023143963906588,0.21833333333333332,6.150307378053012e-05,0.008750363946552688,-0.007722552980217269
ema_cross_32_96,1200,0.5589228728681346,0.09772403197811608,0.18132669791367173,0.6047358988241224,0.8714094542443872,-0.1597950624419774,0.6115585205494087,0.4891666666666667,0.00043513795096680307,0.0686933188880062,-0.0730573476938717
macd_32_96,1200,0.5589228728681346,0.09772403197811608,0.18132669791367173,0.6047358988241224,0.8714094542443872,-0.1597950624419774,0.6115585205494087,0.4891666666666667,0.00043513795096680307,0.0686933188880062,-0.0730573476938717
decoder_tft,1200,0.06906521385152042,0.0141235818062313,0.06605392522850125,0.2452907547656639,0.3513513116967022,-0.1106299666771311,0.1276650642718747,0.42,6.429530624814999e-05,0.035252271655208514,-0.03167501970725825
ema_cross_8_24,1200,-0.17011468599629043,-0.038401456979392457,0.19686144074547648,-0.09872246395743643,-0.12573587403174097,-0.4627560498649834,-0.08298423540998914,0.4708333333333333,-7.712161305001709e-05,0.06658591185088328,-0.17396587284131668
macd_8_24,1200,-0.17011468599629043,-0.038401456979392457,0.19686144074547648,-0.09872246395743643,-0.12573587403174097,-0.4627560498649834,-0.08298423540998914,0.4708333333333333,-7.712161305001709e-05,0.06658591185088328,-0.17396587284131668
tsmom_78,1200,-0.34478980786802704,-0.08496030311097535,0.18067873360039408,-0.40121478632007873,-0.6059660417183055,-0.4306070713965403,-0.19730354830317345,0.445,-0.0002876626170399386,0.06082245676608198,-0.052699128370586414
decoder_transformer,1200,-0.1528501891275229,-0.034234591689744076,0.07776531848573331,-0.40903428357741006,-0.572525116112478,-0.262551343987638,-0.13039198798142881,0.4041666666666667,-0.0001262249259284962,0.03625760807173419,-0.042706695812735535
ema_cross_16_48,1200,-0.36103027542003474,-0.08977059976630974,0.1837731053917284,-0.4200279144609045,-0.6254681765100986,-0.4295685461159835,-0.2089785217702408,0.445,-0.0003063088658400463,0.06658591185088328,-0.06363023558288709
macd_16_48,1200,-0.36103027542003474,-0.08977059976630974,0.1837731053917284,-0.4200279144609045,-0.6254681765100986,-0.4295685461159835,-0.2089785217702408,0.445,-0.0003063088658400463,0.06658591185088328,-0.06363023558288709
long_only,1200,-0.49580676465024853,-0.13394520001475196,0.1857866054761499,-0.6809098833250418,-0.9012057564699626,-0.5907693597968335,-0.22673010675573277,0.4716666666666667,-0.0005019997454687332,0.0861375435646682,-0.0672538542725394
tsmom_48,1200,-0.5954904966661541,-0.1730961135442156,0.19428760675250895,-0.8797330494279297,-1.1462129747347,-0.6790207534648386,-0.2549202107018942,0.43416666666666665,-0.0006782588442636472,0.06360519299544448,-0.14200457699928754
tsmom_12,1200,-0.6266533609929734,-0.18690072904904242,0.18219668674273082,-1.0439189151002775,-1.5802291175457905,-0.672998983459496,-0.2777132412419029,0.41083333333333333,-0.0007547562204735582,0.0792950967976155,-0.11776841573978271
tsmom_24,1200,-0.7544317676374693,-0.25537749372611607,0.1926469750073988,-1.4318484374585583,-1.8978929173405508,-0.7825470059989745,-0.3263414105074868,0.4175,-0.001094608214862944,0.06658591185088328,-0.16894559792049005
